t=2026-07-10T17:13:06+0530 lvl=info msg="no configuration paths supplied"
t=2026-07-10T17:13:06+0530 lvl=info msg="using configuration at default config path" path="/Users/gokulgautham/Library/Application Support/ngrok/ngrok.yml"
t=2026-07-10T17:13:06+0530 lvl=info msg="open config file" path="/Users/gokulgautham/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-07-10T17:33:19+0530 lvl=info msg="join connections" obj=join id=62d985f1313d l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:33:29+0530 lvl=info msg="join connections" obj=join id=f336e40200d7 l=127.0.0.1:8000 r=106.51.109.211:48932
t=2026-07-10T17:33:29+0530 lvl=info msg="join connections" obj=join id=a98a7ccca7df l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:33:44+0530 lvl=info msg="join connections" obj=join id=b11d5c8595f7 l=127.0.0.1:8000 r=106.51.109.211:48932
t=2026-07-10T17:33:49+0530 lvl=info msg="join connections" obj=join id=11384f4b2b44 l=127.0.0.1:8000 r=106.51.109.211:48932
t=2026-07-10T17:33:50+0530 lvl=info msg="join connections" obj=join id=0b38937008d6 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:34:04+0530 lvl=info msg="join connections" obj=join id=7a316b7fec86 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:34:23+0530 lvl=info msg="join connections" obj=join id=89fe9ce7ad74 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:34:33+0530 lvl=info msg="join connections" obj=join id=7b1d78cda6d8 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:34:38+0530 lvl=info msg="join connections" obj=join id=d9f4f598c778 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:34:48+0530 lvl=info msg="join connections" obj=join id=d50da13bb49e l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:34:58+0530 lvl=info msg="join connections" obj=join id=e34b914298f6 l=127.0.0.1:8000 r=106.51.109.211:48932
t=2026-07-10T17:34:58+0530 lvl=info msg="join connections" obj=join id=49afe1693f16 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:35:03+0530 lvl=info msg="join connections" obj=join id=9b862859ea6c l=127.0.0.1:8000 r=106.51.109.211:48932
t=2026-07-10T17:35:13+0530 lvl=info msg="join connections" obj=join id=4e4b3d6b8fc4 l=127.0.0.1:8000 r=106.51.109.211:48932
t=2026-07-10T17:35:18+0530 lvl=info msg="join connections" obj=join id=b4a7b058e77b l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:35:33+0530 lvl=info msg="join connections" obj=join id=1f7f2ce04b1e l=127.0.0.1:8000 r=106.51.109.211:48932
t=2026-07-10T17:35:33+0530 lvl=info msg="join connections" obj=join id=97f42653affa l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:35:43+0530 lvl=info msg="join connections" obj=join id=ceca70097d47 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:35:53+0530 lvl=info msg="join connections" obj=join id=44a6eaf62c48 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:36:03+0530 lvl=info msg="join connections" obj=join id=4deaa29c533d l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:36:18+0530 lvl=info msg="join connections" obj=join id=b870a80b879b l=127.0.0.1:8000 r=106.51.109.211:48932
t=2026-07-10T17:36:23+0530 lvl=info msg="join connections" obj=join id=241a038a38ab l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:36:28+0530 lvl=info msg="join connections" obj=join id=1a12a7252b55 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:36:38+0530 lvl=info msg="join connections" obj=join id=c1f5d701010b l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:36:48+0530 lvl=info msg="join connections" obj=join id=5a9aeb6920a6 l=127.0.0.1:8000 r=[2a09:bac3:3cf9:a8c::10d:26]:44328
t=2026-07-10T17:36:58+0530 lvl=info msg="join connections" obj=join id=5f5b01b27605 l=127.0.0.1:8000 r=[2a09:bac3:3cfb:a8c::10d:30]:32600
t=2026-07-10T17:37:13+0530 lvl=info msg="join connections" obj=join id=c2626eae1375 l=127.0.0.1:8000 r=[2a09:bac3:3cfb:a8c::10d:30]:32600
t=2026-07-10T17:37:23+0530 lvl=info msg="join connections" obj=join id=b90b237caa87 l=127.0.0.1:8000 r=[2a09:bac3:3cfb:a8c::10d:30]:32600
t=2026-07-10T17:37:33+0530 lvl=info msg="join connections" obj=join id=9cb954f12b79 l=127.0.0.1:8000 r=[2a09:bac3:3cfb:a8c::10d:30]:32600
t=2026-07-10T17:38:03+0530 lvl=info msg="join connections" obj=join id=b617386a6133 l=127.0.0.1:8000 r=[2a09:bac3:3cfb:a8c::10d:30]:32600
t=2026-07-10T17:38:23+0530 lvl=info msg="join connections" obj=join id=98402bf162ca l=127.0.0.1:8000 r=[2a09:bac3:3cfb:a8c::10d:30]:32600
t=2026-07-10T17:38:28+0530 lvl=info msg="join connections" obj=join id=cc3236a148de l=127.0.0.1:8000 r=[2a09:bac3:3cfb:a8c::10d:30]:32600
t=2026-07-10T17:38:38+0530 lvl=info msg="join connections" obj=join id=d0d053f08f5a l=127.0.0.1:8000 r=[2a09:bac3:3cfb:a8c::10d:30]:32600
t=2026-07-10T17:38:58+0530 lvl=info msg="join connections" obj=join id=7446c9b40c6d l=127.0.0.1:8000 r=[2a09:bac3:3cfb:a8c::10d:30]:32600
t=2026-07-10T17:39:14+0530 lvl=info msg="join connections" obj=join id=15ff541bc4fc l=127.0.0.1:8000 r=[2a09:bac3:3cfb:a8c::10d:30]:32600
t=2026-07-10T17:39:23+0530 lvl=info msg="join connections" obj=join id=663ad2c48ad2 l=127.0.0.1:8000 r=[2a09:bac3:3cfb:a8c::10d:30]:32600
t=2026-07-10T17:39:33+0530 lvl=info msg="join connections" obj=join id=50ca6ad65754 l=127.0.0.1:8000 r=[2a09:bac3:3cfb:a8c::10d:30]:32600
t=2026-07-10T17:39:43+0530 lvl=info msg="join connections" obj=join id=677a4d397178 l=127.0.0.1:8000 r=[2a09:bac3:3cfb:a8c::10d:30]:32600
t=2026-07-10T17:39:59+0530 lvl=info msg="join connections" obj=join id=9f480cd8abb5 l=127.0.0.1:8000 r=[2a09:bac3:3cfb:a8c::10d:30]:32600
t=2026-07-10T17:40:14+0530 lvl=info msg="join connections" obj=join id=9e8da49821f7 l=127.0.0.1:8000 r=[2a09:bac3:3cfb:a8c::10d:30]:32600
t=2026-07-10T17:40:16+0530 lvl=info msg="join connections" obj=join id=fe07d695f26d l=127.0.0.1:8000 r=[2a09:bac3:3cfb:a8c::10d:30]:32600
t=2026-07-10T17:40:52+0530 lvl=info msg="join connections" obj=join id=e50e82d05ba6 l=127.0.0.1:8000 r=106.51.109.211:44772
t=2026-07-10T17:40:57+0530 lvl=info msg="join connections" obj=join id=6a698855a6c0 l=127.0.0.1:8000 r=[2a09:bac3:3cfb:a8c::10d:30]:32600
t=2026-07-10T17:41:20+0530 lvl=info msg="join connections" obj=join id=fe506acdc515 l=127.0.0.1:8000 r=106.51.109.211:44772
t=2026-07-10T17:41:27+0530 lvl=info msg="join connections" obj=join id=1cffe1286cee l=127.0.0.1:8000 r=[2a09:bac3:3cfb:a8c::10d:30]:32600
t=2026-07-10T17:41:37+0530 lvl=info msg="join connections" obj=join id=8192c699100b l=127.0.0.1:8000 r=[2a09:bac3:3cfb:a8c::10d:30]:32600
t=2026-07-10T17:41:52+0530 lvl=info msg="join connections" obj=join id=54d0cf85d37b l=127.0.0.1:8000 r=106.51.109.211:44772
t=2026-07-10T17:42:02+0530 lvl=info msg="join connections" obj=join id=ffc396f83b41 l=127.0.0.1:8000 r=[2a09:bac3:3cfb:a8c::10d:30]:32600
t=2026-07-10T17:42:16+0530 lvl=info msg="join connections" obj=join id=28b7b9e65ab0 l=127.0.0.1:8000 r=106.51.109.211:44772
t=2026-07-10T17:42:31+0530 lvl=info msg="join connections" obj=join id=99de549112cc l=127.0.0.1:8000 r=106.51.109.211:44772
t=2026-07-10T17:42:46+0530 lvl=info msg="join connections" obj=join id=07893474185c l=127.0.0.1:8000 r=106.51.109.211:44772
t=2026-07-10T17:42:56+0530 lvl=info msg="join connections" obj=join id=571434681d0f l=127.0.0.1:8000 r=106.51.109.211:44772
t=2026-07-10T17:43:52+0530 lvl=info msg="join connections" obj=join id=cfd1236bbfa7 l=127.0.0.1:8000 r=106.51.109.211:44772
t=2026-07-10T17:44:10+0530 lvl=info msg="join connections" obj=join id=137b3505f085 l=127.0.0.1:8000 r=106.51.109.211:44772
t=2026-07-10T17:44:26+0530 lvl=info msg="join connections" obj=join id=082792548d2c l=127.0.0.1:8000 r=106.51.109.211:40390
t=2026-07-10T17:44:27+0530 lvl=info msg="join connections" obj=join id=8d92559b2f6f l=127.0.0.1:8000 r=106.51.109.211:44772
t=2026-07-10T17:44:45+0530 lvl=info msg="join connections" obj=join id=b8ec144caab2 l=127.0.0.1:8000 r=106.51.109.211:44772
t=2026-07-10T17:44:56+0530 lvl=info msg="join connections" obj=join id=e377b1c0bfec l=127.0.0.1:8000 r=106.51.109.211:40390
t=2026-07-10T17:45:06+0530 lvl=info msg="join connections" obj=join id=2bc9ce1964f8 l=127.0.0.1:8000 r=106.51.109.211:44772
t=2026-07-10T17:45:11+0530 lvl=info msg="join connections" obj=join id=39efee0d6cb7 l=127.0.0.1:8000 r=106.51.109.211:40390
t=2026-07-10T17:45:11+0530 lvl=info msg="join connections" obj=join id=5ec224d06cbf l=127.0.0.1:8000 r=106.51.109.211:44772
t=2026-07-10T17:45:17+0530 lvl=info msg="join connections" obj=join id=50699674886a l=127.0.0.1:8000 r=106.51.109.211:44772
t=2026-07-10T17:45:23+0530 lvl=info msg="join connections" obj=join id=b3ef883e9336 l=127.0.0.1:8000 r=106.51.109.211:40390
t=2026-07-10T17:45:34+0530 lvl=info msg="join connections" obj=join id=60b1b94410d5 l=127.0.0.1:8000 r=106.51.109.211:40390
t=2026-07-10T17:45:40+0530 lvl=info msg="join connections" obj=join id=a0678bf92157 l=127.0.0.1:8000 r=106.51.109.211:44772
t=2026-07-10T17:45:49+0530 lvl=info msg="join connections" obj=join id=b67d39af2e47 l=127.0.0.1:8000 r=106.51.109.211:40390
t=2026-07-10T17:45:50+0530 lvl=info msg="join connections" obj=join id=69ede0e4b1c5 l=127.0.0.1:8000 r=106.51.109.211:44772
t=2026-07-10T17:46:00+0530 lvl=info msg="join connections" obj=join id=96e846e5124b l=127.0.0.1:8000 r=106.51.109.211:44772
t=2026-07-10T17:46:10+0530 lvl=info msg="join connections" obj=join id=b58501e0e160 l=127.0.0.1:8000 r=106.51.109.211:44772
t=2026-07-10T17:46:13+0530 lvl=info msg="join connections" obj=join id=c85297608c1f l=127.0.0.1:8000 r=106.51.109.211:40390
t=2026-07-10T17:46:23+0530 lvl=info msg="join connections" obj=join id=58b44c73eab0 l=127.0.0.1:8000 r=106.51.109.211:40390
t=2026-07-10T17:46:25+0530 lvl=info msg="join connections" obj=join id=fc121dac9f92 l=127.0.0.1:8000 r=106.51.109.211:44772
t=2026-07-10T17:46:35+0530 lvl=info msg="join connections" obj=join id=87cef0523bd6 l=127.0.0.1:8000 r=106.51.109.211:44772
t=2026-07-10T17:46:40+0530 lvl=info msg="join connections" obj=join id=aa10ff074f72 l=127.0.0.1:8000 r=106.51.109.211:44772
t=2026-07-10T17:46:47+0530 lvl=info msg="join connections" obj=join id=a2277b6b4cab l=127.0.0.1:8000 r=106.51.109.211:44772
t=2026-07-10T17:47:05+0530 lvl=info msg="join connections" obj=join id=9042789358d5 l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:34154
t=2026-07-10T17:47:20+0530 lvl=info msg="join connections" obj=join id=de1c6a47e677 l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:34154
t=2026-07-10T17:47:36+0530 lvl=info msg="join connections" obj=join id=a6d40ec25669 l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:34154
t=2026-07-10T17:47:41+0530 lvl=info msg="join connections" obj=join id=767192f43a53 l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:34154
t=2026-07-10T17:47:48+0530 lvl=info msg="join connections" obj=join id=3426abbb8c37 l=127.0.0.1:8000 r=106.51.109.211:39812
t=2026-07-10T17:47:51+0530 lvl=info msg="join connections" obj=join id=99a32ec3d2e7 l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:34154
t=2026-07-10T17:47:59+0530 lvl=info msg="join connections" obj=join id=12b7e1a8d87e l=127.0.0.1:8000 r=106.51.109.211:39812
t=2026-07-10T17:48:01+0530 lvl=info msg="join connections" obj=join id=e91ecf81a2d8 l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:34154
t=2026-07-10T17:48:04+0530 lvl=info msg="join connections" obj=join id=88442a2e04ad l=127.0.0.1:8000 r=106.51.109.211:39812
t=2026-07-10T17:48:17+0530 lvl=info msg="join connections" obj=join id=d4a741c6b651 l=127.0.0.1:8000 r=106.51.109.211:39812
t=2026-07-10T17:48:51+0530 lvl=info msg="join connections" obj=join id=4147c0e301ea l=127.0.0.1:8000 r=106.51.109.211:39812
t=2026-07-10T17:49:23+0530 lvl=info msg="join connections" obj=join id=f05761c083da l=127.0.0.1:8000 r=[2409:40f2:1023:b58b:e878:60ff:fe46:458a]:46592
t=2026-07-10T17:49:54+0530 lvl=info msg="join connections" obj=join id=12b70bf444ff l=127.0.0.1:8000 r=[2409:40f2:1023:b58b:e878:60ff:fe46:458a]:46592
t=2026-07-10T17:50:01+0530 lvl=info msg="join connections" obj=join id=e2f3ef35425d l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:46164
t=2026-07-10T17:50:09+0530 lvl=info msg="join connections" obj=join id=728d1e171ac9 l=127.0.0.1:8000 r=[2409:40f2:1023:b58b:e878:60ff:fe46:458a]:46592
t=2026-07-10T17:50:15+0530 lvl=info msg="join connections" obj=join id=44fca0396f9d l=127.0.0.1:8000 r=[2409:40f2:1023:b58b:e878:60ff:fe46:458a]:46592
t=2026-07-10T17:50:26+0530 lvl=info msg="join connections" obj=join id=a7af39a57f0a l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:52840
t=2026-07-10T17:50:50+0530 lvl=info msg="join connections" obj=join id=8cd7efeb6603 l=127.0.0.1:8000 r=[2409:40f2:1023:b58b:e878:60ff:fe46:458a]:46592
t=2026-07-10T17:50:52+0530 lvl=info msg="join connections" obj=join id=513d3bdb6ca4 l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:52840
t=2026-07-10T17:50:57+0530 lvl=info msg="join connections" obj=join id=df4aa2402f81 l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:52840
t=2026-07-10T17:50:57+0530 lvl=info msg="join connections" obj=join id=6e5f0a65f2fa l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:52840
t=2026-07-10T17:50:57+0530 lvl=info msg="join connections" obj=join id=905ebf0c2993 l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:52840
t=2026-07-10T17:50:57+0530 lvl=info msg="join connections" obj=join id=cb7d28f937b8 l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:52840
t=2026-07-10T17:50:57+0530 lvl=info msg="join connections" obj=join id=473c4d6aaa6c l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:52840
t=2026-07-10T17:50:57+0530 lvl=info msg="join connections" obj=join id=f834eb7264f7 l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:52840
t=2026-07-10T17:51:00+0530 lvl=info msg="join connections" obj=join id=9b108762ac86 l=127.0.0.1:8000 r=[2409:40f2:1023:b58b:e878:60ff:fe46:458a]:46592
t=2026-07-10T17:51:09+0530 lvl=info msg="join connections" obj=join id=8e4aa2a7a8ba l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:52840
t=2026-07-10T17:51:19+0530 lvl=info msg="join connections" obj=join id=3e5efc49857f l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:52840
t=2026-07-10T17:51:39+0530 lvl=info msg="join connections" obj=join id=d251e300ebec l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:52840
t=2026-07-10T17:51:49+0530 lvl=info msg="join connections" obj=join id=85c73b5dda77 l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:52840
t=2026-07-10T17:51:55+0530 lvl=info msg="join connections" obj=join id=ca7774783610 l=127.0.0.1:8000 r=[2409:40f2:1023:b58b:e878:60ff:fe46:458a]:46592
t=2026-07-10T17:51:59+0530 lvl=info msg="join connections" obj=join id=91937674138e l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:52840
t=2026-07-10T17:52:04+0530 lvl=info msg="join connections" obj=join id=4cad3f7ea982 l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:52840
t=2026-07-10T17:52:14+0530 lvl=info msg="join connections" obj=join id=65254592034c l=127.0.0.1:8000 r=[2409:40f2:1023:b58b:e878:60ff:fe46:458a]:46592
t=2026-07-10T17:52:19+0530 lvl=info msg="join connections" obj=join id=e1202d759e6b l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:52840
t=2026-07-10T17:52:55+0530 lvl=info msg="join connections" obj=join id=d1940a05f018 l=127.0.0.1:8000 r=[2409:40f2:1023:b58b:e878:60ff:fe46:458a]:46592
t=2026-07-10T17:52:58+0530 lvl=info msg="join connections" obj=join id=32a2e59e201a l=127.0.0.1:8000 r=[2401:4900:630d:a0b8:788f:3fff:fef5:f5]:52840
t=2026-07-10T17:53:02+0530 lvl=info msg="join connections" obj=join id=0b4004c9162b l=127.0.0.1:8000 r=[2409:40f2:1023:b58b:e878:60ff:fe46:458a]:46592
t=2026-07-10T17:53:08+0530 lvl=info msg="join connections" obj=join id=869db6ae8619 l=127.0.0.1:8000 r=[2409:40f2:1023:b58b:e878:60ff:fe46:458a]:46592
t=2026-07-10T17:53:27+0530 lvl=info msg="join connections" obj=join id=163e193d421c l=127.0.0.1:8000 r=[2409:40f2:1023:b58b:e878:60ff:fe46:458a]:46592
t=2026-07-10T17:54:04+0530 lvl=info msg="join connections" obj=join id=69a0f192fcac l=127.0.0.1:8000 r=[2409:40f2:1023:b58b:e878:60ff:fe46:458a]:46592
t=2026-07-10T17:54:18+0530 lvl=info msg="join connections" obj=join id=a7aaefa2e9fc l=127.0.0.1:8000 r=[2409:40f2:1023:b58b:e878:60ff:fe46:458a]:46592
t=2026-07-10T18:06:46+0530 lvl=info msg="join connections" obj=join id=6d7e5f3981fd l=127.0.0.1:8000 r=[2a09:bac2:3cfe:a8c::10d:1f]:17896
t=2026-07-10T18:06:46+0530 lvl=info msg="join connections" obj=join id=ab8e287b5fe5 l=127.0.0.1:8000 r=[2a09:bac2:3cfe:a8c::10d:1f]:17896
t=2026-07-10T18:06:48+0530 lvl=info msg="join connections" obj=join id=96fdcbcb06a8 l=127.0.0.1:8000 r=[2a09:bac2:3cfe:a8c::10d:1f]:17896
t=2026-07-10T18:06:48+0530 lvl=info msg="join connections" obj=join id=3e77e0bba6bf l=127.0.0.1:8000 r=[2a09:bac2:3cfe:a8c::10d:1f]:17896
t=2026-07-10T18:07:08+0530 lvl=info msg="join connections" obj=join id=df93bf65286c l=127.0.0.1:8000 r=106.51.109.211:50002
t=2026-07-10T18:07:09+0530 lvl=info msg="join connections" obj=join id=1caaf8cca1eb l=127.0.0.1:8000 r=106.51.109.211:50002
t=2026-07-10T18:07:10+0530 lvl=info msg="join connections" obj=join id=5079130b43db l=127.0.0.1:8000 r=106.51.109.211:50002
t=2026-07-10T18:07:25+0530 lvl=info msg="join connections" obj=join id=b45d01f5acec l=127.0.0.1:8000 r=106.51.109.211:50002
t=2026-07-10T18:07:36+0530 lvl=info msg="join connections" obj=join id=85904905e02a l=127.0.0.1:8000 r=[2a09:bac2:3cfe:a8c::10d:1f]:17896
t=2026-07-10T18:07:46+0530 lvl=info msg="join connections" obj=join id=4685f85802ae l=127.0.0.1:8000 r=[2a09:bac2:3cfe:a8c::10d:1f]:17896
t=2026-07-10T18:07:57+0530 lvl=info msg="join connections" obj=join id=8d24837cd16a l=127.0.0.1:8000 r=106.51.109.211:50002
